var_name,min,max,PctRec,bad_rate,WOE,score
grade,0.0,1.0,0.14044884147914358,0.013828867761452032,1.4933914458100506,109.48007380209162
grade,1.0,2.0,0.306207608151374,0.03349851337958375,0.5885015938658447,56.882902011778
grade,2.0,3.0,0.34341380513785413,0.05972369506303759,-0.017235252200347554,21.674147174033713
grade,3.0,4.0,0.1380058570930003,0.1034634414513469,-0.614359438018425,-13.033992511857111
grade,4.0,5.0,0.05100931166512399,0.14258800198314328,-0.9797210011328058,-34.27081471669878
grade,5.0,7.0,0.020914576473503987,0.21523579201934703,-1.480031015400239,-63.351582627068694
verification_status,0.0,1.0,0.31497807383578896,0.039631306805408356,0.4140177025161971,34.33530113045447
verification_status,1.0,2.0,0.3943624215387261,0.05853608485423694,0.004112439379350391,22.791767093816226
verification_status,2.0,2.0,0.29065950462548495,0.07980371001983781,-0.32866317070452594,13.420317329620762
acc_open_past_24mths,0.0,2.0,0.13827898578213435,0.03935769413658144,0.4212304609911212,34.19568260220561
acc_open_past_24mths,2.0,4.0,0.2833710149765565,0.047103971441320835,0.2334682999749126,29.06079993411991
acc_open_past_24mths,4.0,6.0,0.258116727109034,0.05908057689292993,-0.005724897119044733,22.519391401994305
acc_open_past_24mths,6.0,7.0,0.09188251420016287,0.06649785313222503,-0.13190658244305592,19.068599477288153
acc_open_past_24mths,7.0,10.0,0.15286102301867896,0.07587188141089272,-0.27387561016709927,15.186058416194175
acc_open_past_24mths,10.0,inf,0.07548973491343337,0.09293132328308208,-0.4953227770585227,9.129964829428891
inq_last_12m,0.0,1.0,0.2801845136033261,0.04289195775792039,0.33155175656312713,27.66083701641903
inq_last_12m,1.0,2.0,0.24216398848813156,0.052612891098207944,0.117066434138387,24.4360491628932
inq_last_12m,2.0,4.0,0.1716057437951737,0.060982079698184394,-0.039425663905862544,22.083189716657927
inq_last_12m,4.0,6.0,0.18454395095822648,0.06956092747903306,-0.18022660899700949,19.96624683048813
inq_last_12m,6.0,7.0,0.07110956000991356,0.08293619745358845,-0.37057474131184387,17.104361746274083
inq_last_12m,7.0,inf,0.050392243145228596,0.09535280537990565,-0.5237189078504207,14.801838466317585
inq_last_6mths,0.0,1.0,0.6294503538028112,0.04958697608639753,0.1794882499673099,26.74214371245162
inq_last_6mths,1.0,2.0,0.2563869120778518,0.06575261392779641,-0.11983833716304447,19.961095587593693
inq_last_6mths,2.0,3.0,0.08054261566241294,0.08339613162521979,-0.3766067142922849,14.144175884778289
inq_last_6mths,3.0,4.0,0.02350424108158961,0.1091026468689477,-0.673740118584067,7.412812883175029
inq_last_6mths,4.0,inf,0.010115877375334457,0.1395,-0.9542311674220701,1.0584715632238577
mths_since_rcnt_il,0.0,4.0,0.1213399491171368,0.07790746144226761,-0.30255632669678434,15.868167191845647
mths_since_rcnt_il,4.0,9.0,0.20655610012695427,0.06998383858171311,-0.18674255593577982,18.474080470077013
mths_since_rcnt_il,9.0,13.0,0.14542585314780815,0.0633347245409015,-0.07978794311505387,20.88065478232167
mths_since_rcnt_il,13.0,16.0,0.117172207638499,0.05849089182422516,0.004932793545807186,22.786947023351246
mths_since_rcnt_il,16.0,inf,0.4095058899696018,0.04588515741758581,0.2609621654930999,28.547836558253913
mo_sin_rcnt_tl,0.0,2.0,0.09487681390326186,0.08161850943597398,-0.35312337802355864,27.827849494131815
mo_sin_rcnt_tl,2.0,3.0,0.10938803999817914,0.07014380172931983,-0.18919767839407844,25.43625493885306
mo_sin_rcnt_tl,3.0,4.0,0.10878108735565907,0.06565304319523876,-0.11821629298212989,24.40067177366869
mo_sin_rcnt_tl,4.0,10.0,0.4019088660607256,0.05858219755603378,0.0032760031259372662,22.62815950416416
mo_sin_rcnt_tl,10.0,16.0,0.1667450647163255,0.04874571541238208,0.1974839269145876,19.794762335966876
mo_sin_rcnt_tl,16.0,inf,0.1183001279658488,0.03830860660994485,0.4493388338891245,16.12032430945857
dti,0.0,16.4501,0.429231850851504,0.048089273299317725,0.21173193019647973,28.245098535258446
dti,16.4501,21.01011,0.1919184255648453,0.056978705460678895,0.0327310726383707,23.536873799487214
dti,21.01011,24.701,0.1371308337000339,0.06476836825022131,-0.10370328860324886,19.94826733597678
dti,24.701,25.7301,0.10883672468122342,0.07110326238498002,-0.20381582373462948,17.31502679905188
dti,25.7301,inf,0.1328821652023934,0.07951431181485993,-0.32471575741709924,14.135019361757237
all_util,0.0,44.0,0.22135562872706857,0.04391737501142492,0.30685412740111195,29.03843341482852
all_util,44.0,54.0,0.15649262299642402,0.050646412411118294,0.15723273985391617,25.936103026794395
all_util,54.0,65.0,0.21098179647866308,0.059262100544194854,-0.008985602835446542,22.489642436985854
all_util,65.0,77.0,0.14848590605384682,0.06560615866743877,-0.11745173446862481,20.240647278242417
all_util,77.0,inf,0.2626840457439975,0.07183979974968711,-0.21491447088611948,18.21980243884017
mo_sin_rcnt_rev_tl_op,0.0,2.0,0.07702734827448422,0.08201457745091602,-0.3583956761500204,9.440597712276668
mo_sin_rcnt_rev_tl_op,2.0,6.0,0.2854700595319384,0.06491849751948972,-0.10617908670355812,18.754818941986127
mo_sin_rcnt_rev_tl_op,6.0,17.0,0.3794263285940448,0.058347552522128615,0.007538659889110539,22.954353365287766
mo_sin_rcnt_rev_tl_op,17.0,35.0,0.18155470919381514,0.049059757626410364,0.19073194367025234,29.719581523670644
mo_sin_rcnt_rev_tl_op,35.0,inf,0.07652155440571749,0.037477691850089236,0.4721311894146603,40.11150235048507
home_ownership,0.0,0.0,0.4939835819310198,0.04975170224747862,0.17599845563850328,26.90667970946161
