variable,interval,flag_1,flag_0,N,bad_rate,y1_total,y0_total,y1_percent,y0_percent,WOE,y0/y1,total_percent,MIV,ori_IV
grade,"0,0.0",433.0,27384.0,27817.0,0.015566020778660532,12835.0,186091.0,0.0337358784573432,0.14715381184474263,1.4729164651480506,63.24249422632794,0.13983591888440927,0.16705514152936543,0.4678793569612758
grade,"0.0,2.0",2289.0,58512.0,60801.0,0.037647407115014554,12835.0,186091.0,0.17834047526295285,0.3144268126884159,0.5670568333771149,25.562254259501966,0.3056463207423866,0.07716868756637262,0.4678793569612758
grade,"2.0,3.0",4480.0,63841.0,68321.0,0.06557281070241947,12835.0,186091.0,0.3490455784962992,0.34306333997882754,-0.017287416307102194,14.250223214285715,0.3434493228637785,0.00010341744769991425,0.4678793569612758
grade,"3.0,4.0",3115.0,24462.0,27577.0,0.11295644921492548,12835.0,186091.0,0.242695753798208,0.13145181658435925,-0.6131682462337261,7.852969502407705,0.13862944009330103,0.06821124988555038,0.4678793569612758
grade,"4.0,5.0",1571.0,8647.0,10218.0,0.1537482873360736,12835.0,186091.0,0.12239968835216206,0.046466513694912705,-0.9685599063546718,5.504137492043284,0.0513658345314338,0.07354582853523838,0.4678793569612758
grade,"5.0,6.0",696.0,2532.0,3228.0,0.21561338289962825,12835.0,186091.0,0.054226723802103624,0.013606246406328086,-1.382644864129834,3.6379310344827585,0.01622713974040598,0.05616369444977106,0.4678793569612758
grade,6.0+,251.0,713.0,964.0,0.2603734439834025,12835.0,186091.0,0.019555901830931047,0.0038314588024138726,-1.6300315057769688,2.8406374501992033,0.0048460231442848094,0.025631337547278005,0.4678793569612758
verification_status,"0,0.0",5052.0,73405.0,78457.0,0.06439195992709382,12835.0,186091.0,0.393611219322166,0.39445755033827534,0.002147861643697838,14.529889152810767,0.3944029438082503,1.817801927373132e-06,0.07985437361627666
verification_status,"0.0,1.0",2736.0,59806.0,62542.0,0.04374660228326564,12835.0,186091.0,0.213167121153097,0.32138039991187106,0.4105490035517975,21.85891812865497,0.3143983189728844,0.04442685376548759,0.07985437361627666
verification_status,1.0+,5047.0,52880.0,57927.0,0.08712690109965991,12835.0,186091.0,0.39322165952473703,0.28416204974985354,-0.32482879887417554,10.477511392906678,0.2911987372188653,0.035425702048861696,0.07985437361627666
acc_open_past_24mths,"0,1.0",1197.0,26263.0,27460.0,0.043590677348871086,12835.0,186091.0,0.09326061550447994,0.14112987731808632,0.41428269090764086,21.940685045948204,0.13804128168263574,0.01983140659590323,0.06761407137650215
acc_open_past_24mths,"1.0,2.0",1364.0,25495.0,26859.0,0.05078372240217432,12835.0,186091.0,0.10627191273860538,0.13700286419010055,0.25400080802636776,18.691348973607038,0.13502005770990216,0.007805686500098852,0.06761407137650215
acc_open_past_24mths,"2.0,3.0",1609.0,27891.0,29500.0,0.05454237288135593,12835.0,186091.0,0.12536034281262173,0.1498782853550145,0.17863120107210353,17.334369173399626,0.14829635140705588,0.004379669524164442,0.06761407137650215
acc_open_past_24mths,"3.0,4.0",1737.0,26153.0,27890.0,0.06228038723556831,12835.0,186091.0,0.13533307362680172,0.1405387686669425,0.037744432365677275,15.056419113413932,0.1402028895167047,0.00019648600435893569,0.06761407137650215
acc_open_past_24mths,"4.0,6.0",2909.0,38822.0,41731.0,0.0697083702762934,12835.0,186091.0,0.22664589014413714,0.20861836413367654,-0.08288227032364598,13.34547954623582,0.20978152679891016,0.001494162284065554,0.06761407137650215
acc_open_past_24mths,"6.0,9.0",2514.0,27929.0,30443.0,0.08258056039155143,12835.0,186091.0,0.1958706661472536,0.15008248652540962,-0.2662695217066246,11.109387430389818,0.15303680765711872,0.012191996687725411,0.06761407137650215
acc_open_past_24mths,"9.0,10.0",442.0,4416.0,4858.0,0.09098394400988061,12835.0,186091.0,0.03443708609271523,0.02373032548591818,-0.37238028118024774,9.990950226244344,0.024421141530016188,0.0039869865252886855,0.06761407137650215
acc_open_past_24mths,10.0+,1063.0,9122.0,10185.0,0.1043691703485518,12835.0,186091.0,0.08282041293338527,0.04901902832485182,-0.5244660081297831,8.58137347130762,0.051199943697656417,0.017727677254897028,0.06761407137650215
inq_last_6mths,"0,0.0",6839.0,118277.0,125116.0,0.05466127433741488,12835.0,186091.0,0.5328398909232567,0.6355868902848606,0.17632782194304383,17.29448749817225,0.6289575017845832,0.018117154608614933,0.061932357005619124
inq_last_6mths,"0.0,1.0",3681.0,47357.0,51038.0,0.07212273208197813,12835.0,186091.0,0.2867939228671601,0.25448302174742465,-0.11952979748156296,12.865254007063298,0.25656776891909555,0.003862115467288784,0.061932357005619124
inq_last_6mths,"1.0,2.0",1463.0,14596.0,16059.0,0.09110156298648733,12835.0,186091.0,0.1139851967276977,0.07843474429177123,-0.373801590523267,9.97676008202324,0.08072851211003086,0.013288815664371068,0.061932357005619124
inq_last_6mths,"2.0,3.0",556.0,4140.0,4696.0,0.11839863713798977,12835.0,186091.0,0.043319049474094276,0.022247180143048294,-0.6663772144907033,7.446043165467626,0.023606768346018117,0.014041813588934502,0.061932357005619124
inq_last_6mths,3.0+,296.0,1721.0,2017.0,0.14675260287555775,12835.0,186091.0,0.023061940007791194,0.009248163532895197,-0.9137586451720019,5.8141891891891895,0.010139448840272262,0.012622457676409838,0.061932357005619124
inq_last_12m,"0,0.0",2651.0,53019.0,55670.0,0.04761990299982037,12835.0,186091.0,0.2065446045968056,0.2849089961362989,0.3216534255094001,19.99962278385515,0.2798528095874848,0.02520617497663787,0.06275114441492449
inq_last_12m,"0.0,1.0",2777.0,45359.0,48136.0,0.05769070965597474,12835.0,186091.0,0.21636151149201402,0.24374633915664917,0.11917741793696057,16.333813467770977,0.2419794295366116,0.0032636530517198637,0.06275114441492449
inq_last_12m,"1.0,2.0",2316.0,31859.0,34175.0,0.06776883686905633,12835.0,186091.0,0.18044409816906895,0.1712011865162743,-0.05258163010044239,13.756044905008636,0.17179755285885204,0.00048600736157831655,0.06275114441492449
inq_last_12m,"2.0,4.0",2780.0,33948.0,36728.0,0.07569157046395121,12835.0,186091.0,0.21659524737047137,0.182426877172996,-0.1716809726545963,12.211510791366907,0.18463147099926605,0.005866059029524893,0.06275114441492449
inq_last_12m,"4.0,6.0",1275.0,12893.0,14168.0,0.08999153020892152,12835.0,186091.0,0.09933774834437085,0.0692833076290632,-0.3603216372411698,10.112156862745097,0.07122246463509044,0.010829265284907326,0.06275114441492449
inq_last_12m,"6.0,18.0",1009.0,8862.0,9871.0,0.10221862020058758,12835.0,186091.0,0.0786131671211531,0.0476218624221483,-0.5012472556536551,8.782953419226958,0.04962146727928979,0.015534306429502381,0.06275114441492449
inq_last_12m,"18.0,25.0",27.0,129.0,156.0,0.17307692307692307,12835.0,186091.0,0.0021036229061160887,0.0006932092363413599,-1.110084448702138,4.777777777777778,0.0007842112142203634,0.001565678281053839,0.06275114441492449
inq_last_12m,25.0+,0.0,22.0,22.0,0.0,12835.0,186091.0,0.0,0.00011822173022875904,0.0,inf,0.00011059388918492304,0.0,0.06275114441492449
open_il_12m,"0,0.0",6026.0,104159.0,110185.0,0.05468983981485683,12835.0,186091.0,0.4694974678613167,0.5597207817680597,0.17577515003214328,17.284931961500167,0.5538994399927611,0.015859016538354916,0.04339276709064649
open_il_12m,"0.0,1.0",4253.0,56390.0,60643.0,0.07013175469551308,12835.0,186091.0,0.3313595636930269,0.30302378943635105,-0.08939276551188668,13.25887608746767,0.30485205553824035,0.0025330132237247776,0.04339276709064649
open_il_12m,"1.0,2.0",1732.0,18568.0,20300.0,0.08532019704433498,12835.0,186091.0,0.1349435138293728,0.09977914031307264,-0.3018971282275885,10.72055427251732,0.10204799774790625,0.01061602338049329,0.04339276709064649
